数据库：月度数据
时间：最近36个月
指标,2024年5月,2024年4月,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月
客运量当期值(万人),,143344,136031,,,73965,74495,85182,79730,94474,90993,79073,79323,78400,70595,65872,58327,36123,33481,42794,48413,59623,61900,51605,37782,32506,42108,56582,55534,57633,54039,72751,67930,54904,83398,75138
客运量累计值(万人),,551178,407833,271802,,930441,856448,781953,696770,617040,522566,431573,352500,273200,194794,124200,58327,558738,522618,489136,446342,397640,338017,276117,224512,186730,154224,112116,55534,830257,772616,718577,645826,577896,522992,439593
客运量同比增长(%),,7.1,8.8,,,104.8,122.5,99.1,64.7,57.7,47.0,53.2,109.9,141.1,67.7,16.4,5.0,-37.3,-38.0,-41.2,-28.7,8.6,-25.8,-31.4,-55.5,-59.7,-43.5,-1.3,-17.3,-33.6,-41.1,-32.2,-30.2,-44.1,-6.6,-6.1
客运量累计增长(%),,16.7,20.5,27.4,,66.5,63.9,59.9,56.1,55.1,54.6,56.3,57.0,46.3,26.3,10.8,5.0,-32.7,-32.4,-32.0,-30.9,-31.2,-35.5,-37.2,-38.4,-33.2,-22.5,-9.9,-17.3,-14.1,-12.2,-8.8,-5.1,-0.9,7.8,11.1
铁路客运量当期值(万人),,36015,32120,,,28986,27974,35169,32499,42860,40919,32682,32560,32900,28038,27297,23609,9913,7374,11896,14752,21732,22615,16736,9225,5691,10145,19052,17874,16498,14396,24767,22711,15409,30847,24607
铁路客运量累计值(万人),,137449,101434,69314,,385450,356464,328490,293321,260822,217963,177044,144362,111800,78944,50907,23609,167296,157383,150008,138113,123071,101339,78724,61988,52763,47072,36927,17874,261171,244673,230277,205509,182798,167389,136542
铁路客运量同比增长(%),,9.6,14.6,,,192.4,279.3,195.6,120.3,94.6,80.9,95.3,252.9,477.4,176.4,43.3,32.1,-39.9,-48.8,-52.0,-35.0,41.0,-26.7,-32.0,-68.6,-79.8,-58.4,33.1,13.7,-20.6,-33.1,-8.8,-3.5,-38.0,48.8,48.3
铁路客运量累计增长(%),,22.9,28.5,36.2,,130.4,126.5,119.0,112.4,111.4,115.1,124.9,132.9,111.9,67.7,37.9,32.1,-35.9,-35.7,-34.9,-32.8,-32.7,-39.5,-42.3,-44.6,-36.1,-13.5,23.0,13.7,18.5,22.6,29.3,36.2,43.5,63.3,67.0
公路客运量当期值(万人),,99490,96397,,,38640,39967,41888,39980,41625,40798,39041,39141,38300,36127,32551,29187,23771,24146,28147,30700,32890,34184,31637,26686,25595,29759,33328,33801,37587,36521,42429,40505,36243,45695,44895
公路客运量累计值(万人),,382534,283044,186647,,457264,418623,378657,336768,296788,255163,214365,175325,136200,97865,61738,29187,354643,330872,306726,278579,247879,214989,180805,149168,122482,96887,67129,33801,508693,471106,434585,392157,351652,315409,269714
公路客运量同比增长(%),,6.1,6.5,,,62.6,65.5,48.8,30.2,26.6,19.3,23.4,46.7,49.7,21.4,-2.3,-13.7,-36.8,-33.9,-33.7,-24.2,-9.3,-25.3,-29.6,-44.7,-43.9,-32.6,-15.5,-28.9,-38.0,-43.3,-42.0,-39.9,-45.9,-27.8,-24.1
公路客运量累计增长(%),,14.1,17.2,23.7,,28.9,26.5,23.5,20.9,19.7,18.7,18.6,17.5,11.2,1.0,-8.0,-13.7,-30.3,-29.8,-29.5,-29.0,-29.6,-31.9,-33.0,-33.7,-30.7,-26.1,-22.8,-28.9,-26.2,-25.1,-23.0,-20.2,-17.0,-11.6,-8.1
水运客运量当期值(万人),,2244,1771,,,1280,1655,2520,1902,3593,3034,2039,2453,2200,1861,1704,1554,568,704,1159,950,1770,1701,1032,664,432,667,1073,908,839,969,1669,1102,1012,1944,1507
水运客运量累计值(万人),,7877,5633,3861,,25771,24491,22836,20316,18414,14821,11787,9748,7300,5118,3257,1554,11627,11060,10356,9197,8246,6477,4775,3743,3079,2647,1981,908,16337,15498,14529,12860,11757,10746,8801
水运客运量同比增长(%),,3.1,-4.8,,,125.5,135.3,117.3,100.1,103.0,78.3,97.5,269.6,403.7,179.1,58.8,71.1,-32.4,-27.4,-30.5,-13.8,74.9,-12.5,-31.5,-69.1,-76.2,-48.7,-9.4,6.6,-26.9,-33.7,-15.7,-29.6,-43.8,39.0,20.8
水运客运量累计增长(%),,8.0,10.1,18.5,,121.6,121.4,120.5,120.9,123.3,128.8,146.8,160.4,136.9,93.3,64.5,71.1,-28.8,-28.6,-28.7,-28.5,-29.9,-39.7,-45.7,-48.7,-40.2,-20.6,-2.7,6.6,9.0,12.0,17.4,23.7,33.1,52.8,56.3
民航客运量当期值(万人),,5595,5743,,,5059,4899,5605,5349,6396,6243,5312,5170,5000,4569,4320,3977,1871,1257,1592,2010,3230,3400,2200,1207,788,1537,3129,2951,2710,2153,3886,3612,2241,4912,4128
民航客运量累计值(万人),,23318,17723,11980,,61957,56870,51970,46365,41016,34620,28377,23065,17900,12867,8297,3977,25171,23303,22046,20453,18443,15213,11813,9613,8406,7618,6081,2951,44056,41339,39187,35300,31689,29448,24536
民航客运量同比增长(%),,10.6,25.7,,,170.3,289.8,252.0,166.1,98.0,83.7,141.5,328.2,537.9,197.3,38.0,34.8,-30.9,-41.6,-59.0,-44.4,44.2,-30.8,-46.7,-76.4,-84.6,-67.9,30.7,-2.2,-36.0,-51.5,-22.8,-24.7,-51.5,25.6,34.2
民航客运量累计增长(%),,30.1,37.7,44.4,,146.1,144.1,135.8,126.7,122.4,127.6,140.2,139.9,112.9,68.9,36.5,34.8,-42.9,-43.6,-43.8,-42.1,-41.8,-48.4,-51.9,-52.9,-45.1,-25.3,12.3,-2.2,5.5,10.1,18.4,25.8,36.2,57.9,66.4
注：1.铁路运输数据来源于中国国家铁路集团有限公司、公路水路运输数据来源于交通运输部，民航运输数据来源于中国民用航空局。
　　　2.自2020年1月起，交通运输部根据2019道路货物运输量专项调查调整月度公路货物运输量、公路货物运输周转量统计口径，同比增速按照调整后可比口径计算。
